scorer,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000
bodyparts,NoseTip,NoseTip,NoseTip,ForepawLeft,ForepawLeft,ForepawLeft,ForepawRight,ForepawRight,ForepawRight,HindpawLeft,HindpawLeft,HindpawLeft,HindpawRight,HindpawRight,HindpawRight,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,547.7761840820312,36.35196304321289,0.02412503957748413,1035.6234130859375,485.512939453125,1.0,1063.9508056640625,471.6557312011719,1.0,1090.5032958984375,547.2437744140625,0.9999995231628418,1114.735107421875,513.519775390625,0.9999995827674866,1136.8106689453125,544.8695678710938,0.9999999403953552
1,547.7761840820312,36.351959228515625,0.024124860763549805,1035.6234130859375,485.5129699707031,0.9999998807907104,1063.9527587890625,471.6494445800781,1.0,1090.503173828125,547.2437744140625,0.999999463558197,1114.7349853515625,513.5197143554688,0.9999996423721313,1136.8106689453125,544.8697509765625,0.9999999403953552
2,1029.8265380859375,448.12823486328125,0.9988123178482056,1034.8883056640625,488.5163269042969,0.9999998807907104,1061.2564697265625,472.10772705078125,1.0,1090.9990234375,547.1697998046875,0.9999995827674866,1115.19677734375,513.67724609375,0.9999996423721313,1136.7791748046875,545.2092895507812,1.0
3,1029.868408203125,448.26788330078125,0.9985748529434204,1034.8868408203125,488.604736328125,0.9999998807907104,1061.295654296875,472.14312744140625,0.9999999403953552,1090.9967041015625,547.1728515625,0.9999995827674866,1115.1978759765625,513.6771240234375,0.9999996423721313,1136.779296875,545.2127685546875,0.9999998807907104
4,1026.3756103515625,465.3788757324219,0.9993346929550171,1035.3985595703125,498.0149230957031,0.9999997615814209,1060.66455078125,476.0792236328125,0.9999998807907104,1091.4390869140625,547.2479858398438,0.9999996423721313,1115.3858642578125,513.5074462890625,0.9999997615814209,1136.735107421875,545.3191528320312,0.9999998807907104
5,1026.3763427734375,465.3796081542969,0.999336302280426,1035.399658203125,498.0174865722656,0.9999998807907104,1060.65625,476.082763671875,0.9999998807907104,1091.4296875,547.2384643554688,0.9999997615814209,1115.3858642578125,513.5062255859375,0.9999997615814209,1136.7344970703125,545.3145141601562,1.0
6,1021.7293701171875,471.20623779296875,0.9999997615814209,1036.8048095703125,504.6268005371094,0.9999995231628418,1056.404541015625,477.7906188964844,0.9999995231628418,1092.333984375,547.5357666015625,0.9999998807907104,1115.589599609375,513.7557983398438,0.9999997615814209,1137.0142822265625,545.7907104492188,1.0
7,1021.5341186523438,471.34552001953125,0.9999997615814209,1036.8370361328125,504.6328430175781,0.9999995231628418,1056.32861328125,477.78619384765625,0.9999995231628418,1092.3006591796875,547.5208129882812,0.9999998807907104,1115.6168212890625,513.7986450195312,0.9999997615814209,1136.981201171875,545.7947387695312,1.0
8,1013.4498901367188,475.20574951171875,0.999998927116394,1039.4139404296875,505.0795593261719,0.9999971985816956,1054.362060546875,479.34088134765625,0.9999992251396179,1092.80859375,547.0502319335938,0.9999998211860657,1115.8826904296875,513.7796020507812,0.9999997615814209,1137.1409912109375,545.71875,0.9999999403953552
9,1013.4524536132812,475.19085693359375,0.9999988079071045,1039.43115234375,505.10919189453125,0.9999970197677612,1054.36279296875,479.3513488769531,0.9999992251396179,1092.8177490234375,547.0577392578125,0.9999998807907104,1115.876220703125,513.7764892578125,0.9999997615814209,1137.140869140625,545.7177124023438,0.9999999403953552
10,1013.4549560546875,475.1897888183594,0.9999988079071045,1039.4229736328125,505.12152099609375,0.999997079372406,1054.3629150390625,479.3629455566406,0.9999992251396179,1092.8218994140625,547.068603515625,0.9999998807907104,1115.8720703125,513.7695922851562,0.9999997615814209,1137.1412353515625,545.7180786132812,1.0
11,1005.6876220703125,477.3287048339844,0.9999983310699463,1039.30029296875,507.6448059082031,0.999996542930603,1050.5887451171875,480.7850341796875,0.9999997615814209,1093.3062744140625,546.8508911132812,0.9999998807907104,1115.5260009765625,513.2740478515625,0.9999996423721313,1137.144287109375,545.9508666992188,0.9999999403953552
12,997.5013427734375,478.8896789550781,0.9999999403953552,1037.2880859375,509.2250061035156,0.999998927116394,1047.9522705078125,481.271728515625,0.9999995827674866,1093.367919921875,546.183837890625,0.9999998807907104,1115.3887939453125,512.4048461914062,0.9999994039535522,1136.9527587890625,544.8775024414062,0.9999999403953552
13,996.9778442382812,479.706298828125,1.0,1037.299560546875,509.2298889160156,0.9999989867210388,1047.9512939453125,481.270751953125,0.9999996423721313,1093.3687744140625,546.180419921875,0.9999999403953552,1115.3931884765625,512.4176635742188,0.9999994039535522,1136.95361328125,544.8856811523438,0.9999998807907104
14,990.9761352539062,482.1212158203125,0.9999998211860657,1033.534423828125,510.1336669921875,0.999999463558197,1042.2342529296875,481.48004150390625,0.9999994039535522,1092.3780517578125,545.3258666992188,0.9999998807907104,1114.7275390625,511.8053894042969,0.9999990463256836,1136.9764404296875,543.7369995117188,0.9999998807907104
15,990.7775268554688,482.15350341796875,0.9999998807907104,1033.4949951171875,510.1551208496094,0.9999995231628418,1042.155029296875,481.4974670410156,0.9999994039535522,1092.386962890625,545.326904296875,0.9999999403953552,1114.71044921875,511.7862243652344,0.9999990463256836,1136.974853515625,543.7363891601562,0.9999998807907104
16,984.3187866210938,484.9818115234375,0.9999998807907104,1031.45947265625,512.3152465820312,0.9999996423721313,1037.8984375,482.54412841796875,0.9999995827674866,1092.0823974609375,544.8685302734375,0.9999998807907104,1113.708251953125,510.6406555175781,0.9999985694885254,1136.0794677734375,543.1617431640625,0.9999998211860657
17,984.3182373046875,484.9784240722656,0.9999998807907104,1031.462158203125,512.3296508789062,0.9999996423721313,1037.89892578125,482.5437316894531,0.9999996423721313,1092.0758056640625,544.85595703125,0.9999998807907104,1113.70751953125,510.6435241699219,0.9999985694885254,1136.078857421875,543.1483764648438,0.9999998807907104
18,984.8088989257812,485.3677978515625,0.9999998807907104,1031.4603271484375,512.3330688476562,0.9999996423721313,1037.896728515625,482.53948974609375,0.9999995827674866,1092.0753173828125,544.8536376953125,0.9999998807907104,1113.7086181640625,510.6471862792969,0.9999986290931702,1136.0787353515625,543.1468505859375,0.9999998807907104
19,981.2643432617188,492.8736267089844,0.9999998807907104,1029.709716796875,512.1412353515625,0.9999995827674866,1035.0965576171875,483.1778564453125,0.9999995231628418,1091.966796875,544.74365234375,0.9999997615814209,1113.4539794921875,510.3320007324219,0.999998927116394,1135.9805908203125,542.9423217773438,0.9999997615814209
20,981.2730102539062,492.87457275390625,0.9999998807907104,1029.701416015625,512.1376342773438,0.9999995231628418,1035.0640869140625,483.1779479980469,0.9999995231628418,1091.967041015625,544.7376708984375,0.9999998807907104,1113.4534912109375,510.3404541015625,0.9999988079071045,1135.980224609375,542.9415893554688,0.9999998211860657
21,977.2828979492188,497.2786560058594,0.9999999403953552,1027.952880859375,515.3869018554688,0.9999992251396179,1032.15087890625,484.7966003417969,0.9999962449073792,1091.826416015625,543.8189697265625,0.9999998807907104,1112.16845703125,508.89117431640625,0.9999988079071045,1135.8514404296875,542.8040161132812,0.9999998807907104
22,977.2825927734375,497.2767333984375,0.9999998807907104,1027.9781494140625,515.3809204101562,0.9999992251396179,1032.1571044921875,484.8117370605469,0.9999961853027344,1092.1051025390625,544.1519775390625,0.9999998211860657,1112.14599609375,508.85205078125,0.9999988079071045,1135.8480224609375,542.7991333007812,0.9999998211860657
23,975.4786987304688,499.2239074707031,1.0,1028.3404541015625,515.9368896484375,0.9999999403953552,1031.785400390625,484.5296630859375,0.9999996423721313,1092.4033203125,544.4580078125,0.9999999403953552,1111.583740234375,508.5413818359375,0.999998927116394,1135.65771484375,542.62109375,0.9999997615814209
24,972.0787353515625,499.4866027832031,1.0,1026.2056884765625,516.5367431640625,0.9999992847442627,1031.941650390625,486.3893737792969,0.9999988079071045,1091.8427734375,543.794677734375,0.9999998807907104,1111.2901611328125,508.0577697753906,0.9999984502792358,1135.5677490234375,542.491455078125,0.9999997615814209
25,972.4024047851562,499.19549560546875,0.9999998807907104,1025.021728515625,515.6193237304688,0.9999973773956299,1031.0997314453125,487.1328430175781,0.9999991655349731,1091.73486328125,543.4217529296875,0.9999998807907104,1110.794189453125,507.7730407714844,0.9999986290931702,1135.91748046875,542.3458251953125,0.9999997615814209
26,972.4024047851562,499.19549560546875,0.9999998807907104,1025.021728515625,515.6193237304688,0.9999973773956299,1031.0997314453125,487.1328430175781,0.9999991655349731,1092.1336669921875,543.740478515625,0.9999998807907104,1110.794189453125,507.7730407714844,0.9999986290931702,1135.91748046875,542.3458251953125,0.9999997019767761
27,970.4059448242188,498.6639404296875,0.9999999403953552,1024.3226318359375,516.0004272460938,0.9999908804893494,1030.2991943359375,487.2395324707031,0.9999992847442627,1091.1619873046875,543.2199096679688,0.9999997615814209,1110.307861328125,507.6086120605469,0.9999991655349731,1135.7431640625,542.0806274414062,0.9999997615814209
28,970.4109497070312,498.65545654296875,0.9999998807907104,1024.322265625,515.9970092773438,0.9999908804893494,1030.3043212890625,487.2407531738281,0.9999992847442627,1091.1400146484375,543.2164916992188,0.9999997615814209,1110.3079833984375,507.6087646484375,0.9999991059303284,1135.743896484375,542.0808715820312,0.9999997615814209
29,972.3552856445312,500.6463928222656,0.9999998807907104,1023.92431640625,517.8728637695312,0.9999940991401672,1029.2891845703125,488.4998779296875,0.999999463558197,1090.8519287109375,543.1697998046875,0.9999998807907104,1109.7713623046875,507.3265075683594,0.9999990463256836,1135.5576171875,541.80078125,0.9999996423721313
30,972.3576049804688,500.65228271484375,1.0,1023.9207763671875,517.8660888671875,0.999994158744812,1029.2984619140625,488.4952392578125,0.999999463558197,1090.9254150390625,543.2260131835938,0.9999998211860657,1109.821533203125,507.3585510253906,0.9999990463256836,1135.5501708984375,541.8583374023438,0.9999997615814209
31,973.5816650390625,503.10711669921875,0.9999998807907104,1023.221435546875,519.627197265625,0.9999951124191284,1027.5054931640625,489.2276611328125,0.9999994039535522,1090.8280029296875,542.52099609375,0.9999998211860657,1109.1849365234375,506.583251953125,0.9999980926513672,1135.662353515625,541.271728515625,0.9999995827674866
32,973.5689086914062,503.0959167480469,0.9999998807907104,1023.22509765625,519.6416015625,0.9999951124191284,1027.5107421875,489.2383117675781,0.9999994039535522,1090.8255615234375,542.5198974609375,0.9999998807907104,1109.181884765625,506.5843200683594,0.9999980926513672,1135.6607666015625,541.2736206054688,0.9999995827674866
33,974.8878173828125,505.8375244140625,0.9999992847442627,1020.6123046875,521.5145874023438,0.9999914169311523,1024.718017578125,490.9701232910156,0.9999992251396179,1090.97119140625,542.7278442382812,0.9999998211860657,1108.6553955078125,506.36639404296875,0.9999971389770508,1135.4293212890625,539.757568359375,0.9999996423721313
34,974.7861938476562,505.847412109375,0.9999992251396179,1020.6294555664062,521.5081176757812,0.9999915957450867,1024.7486572265625,490.9625244140625,0.9999992251396179,1090.9940185546875,542.7152099609375,0.9999998807907104,1108.952392578125,506.5579528808594,0.9999967217445374,1135.416015625,539.7664794921875,0.9999996423721313
35,971.7312622070312,508.03558349609375,0.9999997019767761,1020.3018798828125,522.2608032226562,0.999994158744812,1024.2857666015625,491.187255859375,0.9999989867210388,1090.1199951171875,542.4707641601562,0.9999997615814209,1108.170654296875,506.4952697753906,0.9999982118606567,1134.662109375,538.5535278320312,0.9999987483024597
36,971.7328491210938,508.0267333984375,0.9999997019767761,1020.4048461914062,522.3218994140625,0.9999942183494568,1024.2685546875,491.1992492675781,0.999998927116394,1090.1309814453125,542.4730834960938,0.9999998807907104,1108.1614990234375,506.468994140625,0.9999982118606567,1134.6614990234375,538.5538940429688,0.9999988079071045
37,967.1921997070312,508.10052490234375,0.9999997019767761,1017.810546875,523.45947265625,0.9999976754188538,1021.1746215820312,491.69140625,0.9999985694885254,1089.0167236328125,542.0233764648438,0.9999997615814209,1107.524658203125,506.0621337890625,0.9999961853027344,1132.95263671875,536.9685668945312,0.9999994039535522
38,967.1940307617188,508.0986328125,0.9999997019767761,1017.8134155273438,523.4721069335938,0.9999976754188538,1021.1748046875,491.6938781738281,0.9999986290931702,1089.023193359375,542.031494140625,0.9999998211860657,1107.52099609375,506.0577087402344,0.9999961853027344,1132.9635009765625,536.9752807617188,0.9999994039535522
39,960.8199462890625,510.0081787109375,1.0,1014.6232299804688,524.8683471679688,0.9999992847442627,1020.20703125,491.9136047363281,0.9999983906745911,1087.4952392578125,542.123779296875,0.9999993443489075,1106.610107421875,506.20745849609375,0.9999934434890747,1131.0810546875,535.8740844726562,0.9999997615814209
40,960.8466186523438,510.0174865722656,1.0,1014.6290893554688,524.8634643554688,0.9999992847442627,1020.2105102539062,491.9101257324219,0.9999984502792358,1087.375,541.5528564453125,0.9999992847442627,1106.6416015625,506.2123718261719,0.999993622303009,1131.0762939453125,535.8707885742188,0.9999997615814209
41,956.5660400390625,510.134033203125,0.999998927116394,1012.9132690429688,526.4058227539062,0.9999994039535522,1018.314697265625,492.91790771484375,0.9999977350234985,1085.349365234375,540.915283203125,0.999999463558197,1100.614990234375,504.4009094238281,0.999904453754425,1128.4676513671875,534.212646484375,0.9999998807907104
42,956.5660400390625,510.134033203125,0.999998927116394,1012.9127197265625,526.405517578125,0.9999994039535522,1018.3146362304688,492.91802978515625,0.9999977350234985,1085.3485107421875,540.9168090820312,0.999999463558197,1100.6168212890625,504.3985900878906,0.999904990196228,1128.467529296875,534.211669921875,0.9999998807907104
