scorer,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000
bodyparts,NoseTip,NoseTip,NoseTip,ForepawLeft,ForepawLeft,ForepawLeft,ForepawRight,ForepawRight,ForepawRight,HindpawLeft,HindpawLeft,HindpawLeft,HindpawRight,HindpawRight,HindpawRight,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1066.87451171875,472.6582946777344,0.9999998807907104,1088.5889892578125,520.12158203125,0.9999969005584717,1101.415283203125,493.04266357421875,0.9999971985816956,1163.59130859375,507.5249938964844,0.9999915957450867,1129.6829833984375,480.639404296875,0.9999996423721313,1155.5406494140625,458.5165100097656,1.0
1,1065.4549560546875,468.4106140136719,1.0,1088.4193115234375,519.9713745117188,0.9999970197677612,1099.21484375,490.3431396484375,0.9999989867210388,1160.960205078125,506.9119873046875,0.9999951720237732,1130.95458984375,477.643798828125,0.9999886751174927,1158.5076904296875,457.2018737792969,1.0
2,1069.08154296875,467.3250427246094,1.0,1090.5985107421875,519.3204956054688,0.9999996423721313,1101.046142578125,490.43267822265625,0.9999992847442627,1162.1910400390625,506.97540283203125,0.999993085861206,1132.0126953125,476.47161865234375,0.9999944567680359,1159.879638671875,457.078125,1.0
3,1069.0789794921875,467.3227844238281,1.0,1090.607421875,519.3007202148438,0.9999997615814209,1101.044189453125,490.43060302734375,0.9999992847442627,1162.1785888671875,506.9504089355469,0.999993085861206,1132.0233154296875,476.4721374511719,0.9999944567680359,1159.8798828125,457.0819091796875,0.9999999403953552
4,1069.0789794921875,467.32281494140625,1.0,1090.607421875,519.3007202148438,0.9999996423721313,1101.044189453125,490.43060302734375,0.9999992847442627,1162.1785888671875,506.9504089355469,0.999993085861206,1132.0233154296875,476.4721374511719,0.9999944567680359,1159.8798828125,457.0819091796875,0.9999999403953552
5,1061.05517578125,466.5854797363281,1.0,1091.51318359375,518.9488525390625,0.9999995231628418,1101.01123046875,490.1313781738281,0.9999982118606567,1161.9576416015625,507.586669921875,0.9999933242797852,1131.790771484375,476.5860900878906,0.999992847442627,1159.093017578125,459.1231384277344,0.9999998807907104
6,1061.0596923828125,466.5756530761719,1.0,1091.627197265625,519.0008544921875,0.9999995231628418,1101.1087646484375,490.14898681640625,0.9999982118606567,1161.912353515625,507.5858154296875,0.9999933242797852,1131.842529296875,476.6463928222656,0.9999927282333374,1159.1002197265625,459.1361999511719,1.0
7,1059.196044921875,464.62213134765625,1.0,1088.0867919921875,517.758544921875,0.9999967813491821,1095.98876953125,487.4937744140625,0.9999983310699463,1155.1986083984375,516.9673461914062,0.9999982714653015,1131.22705078125,479.3639221191406,0.9999956488609314,1159.53662109375,464.8968811035156,0.9999999403953552
8,1059.196533203125,464.6148681640625,1.0,1088.083984375,517.7577514648438,0.9999967813491821,1095.98486328125,487.49310302734375,0.9999983310699463,1155.2025146484375,516.9644775390625,0.9999983310699463,1131.2215576171875,479.3636169433594,0.9999955296516418,1159.5230712890625,464.888427734375,1.0
9,1055.256591796875,465.5347900390625,1.0,1082.8067626953125,514.862060546875,0.9999894499778748,1093.2354736328125,486.573486328125,0.9999982118606567,1139.6185302734375,528.9534912109375,0.9993144273757935,1129.1168212890625,481.7351989746094,0.9999986290931702,1158.8414306640625,472.8923645019531,1.0
10,1055.6441650390625,465.5111083984375,1.0,1082.7559814453125,514.8772583007812,0.9999885559082031,1093.214111328125,486.5778503417969,0.9999980926513672,1139.7037353515625,528.8394165039062,0.9991666078567505,1129.1474609375,481.7480773925781,0.9999986886978149,1158.820068359375,472.9228820800781,1.0
11,1054.2100830078125,466.65386962890625,1.0,1079.8731689453125,514.3872680664062,0.9999912977218628,1090.9349365234375,487.3827819824219,0.9999976754188538,1139.164306640625,532.728271484375,0.9999595880508423,1129.5657958984375,483.7638854980469,0.9999986886978149,1160.487548828125,477.55560302734375,0.9999998807907104
12,1054.2056884765625,466.660888671875,1.0,1079.87548828125,514.3848876953125,0.9999912977218628,1090.9339599609375,487.38592529296875,0.9999976754188538,1139.1658935546875,532.73388671875,0.9999596476554871,1129.57373046875,483.76324462890625,0.9999986886978149,1160.4891357421875,477.5521240234375,0.9999998807907104
13,1047.4075927734375,470.8413391113281,0.9999998807907104,1079.029296875,514.7137451171875,0.9999986886978149,1089.0718994140625,487.3927307128906,0.9999984502792358,1139.6712646484375,533.8693237304688,0.9999778270721436,1129.433349609375,484.75341796875,0.9999986886978149,1160.6053466796875,479.2279052734375,0.9999998807907104
14,1047.1495361328125,470.85577392578125,0.9999998807907104,1079.0347900390625,514.7150268554688,0.9999986886978149,1089.073486328125,487.3959655761719,0.9999984502792358,1139.670166015625,533.869140625,0.999977707862854,1129.4373779296875,484.75714111328125,0.9999986886978149,1160.600830078125,479.22784423828125,0.9999998807907104
15,1042.2611083984375,471.8768310546875,1.0,1073.0106201171875,514.4539794921875,0.9999997615814209,1084.749755859375,486.2090759277344,0.9999998807907104,1133.2242431640625,533.926025390625,0.9999991655349731,1129.6353759765625,484.5066223144531,0.999998927116394,1160.1151123046875,481.3036193847656,1.0
16,1042.2596435546875,471.8632507324219,1.0,1072.9730224609375,514.4190673828125,0.9999998807907104,1084.71826171875,486.19622802734375,0.9999998807907104,1133.2181396484375,533.929443359375,0.9999991655349731,1129.63037109375,484.5149230957031,0.9999989867210388,1160.1163330078125,481.3078918457031,1.0
17,1035.57275390625,471.84344482421875,0.9999998211860657,1066.3355712890625,510.99810791015625,0.9999954700469971,1079.4349365234375,485.36810302734375,0.9999995231628418,1129.5489501953125,534.0379638671875,0.9999980330467224,1128.3782958984375,484.7084045410156,0.9999997615814209,1160.3095703125,483.88909912109375,1.0
18,1035.5997314453125,471.83001708984375,0.9999998211860657,1067.472900390625,511.4472351074219,0.9999951124191284,1080.29931640625,484.95989990234375,0.999999463558197,1129.5609130859375,534.0308837890625,0.9999980926513672,1128.392578125,484.6982421875,0.9999997019767761,1160.301513671875,483.8723449707031,1.0
19,1028.78271484375,474.19024658203125,1.0,1062.6207275390625,512.8196411132812,0.999999463558197,1076.6524658203125,486.3951416015625,0.9999995827674866,1127.46337890625,533.26318359375,0.999999463558197,1125.531494140625,485.5716247558594,0.9999997615814209,1158.3104248046875,484.9585876464844,1.0
20,1028.784912109375,474.1922607421875,0.9999999403953552,1062.623291015625,512.8243408203125,0.9999994039535522,1076.666748046875,486.39141845703125,0.9999995231628418,1127.43310546875,533.2686157226562,0.9999995231628418,1125.6483154296875,485.58740234375,0.9999997615814209,1158.3095703125,484.9704895019531,1.0
21,1021.777587890625,480.75408935546875,0.9999998807907104,1058.759033203125,512.9271240234375,0.9999999403953552,1071.796630859375,486.89703369140625,0.9999997615814209,1124.9974365234375,534.3184204101562,0.999999463558197,1123.2255859375,487.47845458984375,0.9999983906745911,1155.86328125,486.8111877441406,1.0
22,1021.77734375,480.7582092285156,1.0,1058.7559814453125,512.912109375,0.9999999403953552,1071.7850341796875,486.8898010253906,0.9999997615814209,1125.0009765625,534.2967529296875,0.9999995231628418,1123.2652587890625,487.4389953613281,0.9999984502792358,1155.8516845703125,486.8154602050781,1.0
23,1013.2264404296875,489.377685546875,0.9999999403953552,1056.813720703125,514.7938232421875,0.9999999403953552,1063.746337890625,486.646240234375,0.9999994039535522,1123.2005615234375,534.6697998046875,0.9999984502792358,1121.46240234375,487.3008117675781,0.9999988675117493,1154.3721923828125,488.5502014160156,1.0
24,1013.2425537109375,489.3575744628906,0.9999999403953552,1056.80517578125,514.797119140625,1.0,1063.754638671875,486.64483642578125,0.9999994039535522,1123.2176513671875,534.6519165039062,0.9999985098838806,1121.44873046875,487.290771484375,0.999998927116394,1154.3934326171875,488.63165283203125,1.0
25,1000.9266357421875,499.37103271484375,1.0,1047.3248291015625,513.847900390625,0.9999958276748657,1049.4456787109375,488.0793151855469,0.999991774559021,1118.2391357421875,534.5911254882812,0.9999970197677612,1118.40771484375,486.4634704589844,0.9999990463256836,1151.838134765625,488.9692077636719,1.0
26,1000.9266357421875,499.37103271484375,1.0,1047.3248291015625,513.847900390625,0.9999958872795105,1049.4456787109375,488.0793151855469,0.9999918341636658,1118.2391357421875,534.5911254882812,0.9999971389770508,1118.40771484375,486.4634704589844,0.9999990463256836,1151.838134765625,488.9692077636719,0.9999998807907104
27,992.591552734375,502.3974609375,0.9999998807907104,1034.5733642578125,515.6170654296875,0.9999991059303284,1035.9530029296875,491.0306091308594,0.9999956488609314,1113.7926025390625,534.1679077148438,0.9999986886978149,1113.4979248046875,487.13336181640625,0.9999996423721313,1147.45751953125,488.8619689941406,0.9999998807907104
28,992.5966796875,502.4255065917969,0.9999998211860657,1034.548583984375,515.6005249023438,0.9999990463256836,1035.897705078125,491.0238037109375,0.9999957084655762,1113.7950439453125,534.1421508789062,0.9999986886978149,1113.1029052734375,487.08477783203125,0.9999996423721313,1147.440673828125,488.84942626953125,0.9999998807907104
29,982.9578857421875,505.08453369140625,0.9999996423721313,1027.364013671875,518.9944458007812,0.9999998807907104,1026.5296630859375,492.0505065917969,0.9999990463256836,1107.94482421875,532.59765625,0.9999994039535522,1108.0072021484375,488.19000244140625,0.9999987483024597,1140.3968505859375,493.1402893066406,1.0
30,982.9631958007812,505.0814514160156,0.9999997019767761,1027.4136962890625,519.02197265625,0.9999998807907104,1026.61669921875,492.0612487792969,0.9999991655349731,1107.9532470703125,532.59912109375,0.9999994039535522,1108.018310546875,488.193359375,0.9999987483024597,1140.3968505859375,493.14453125,1.0
31,966.8239135742188,506.34588623046875,0.9999997019767761,1012.2672119140625,523.3390502929688,0.9999998807907104,1011.9939575195312,494.234619140625,0.9999995827674866,1097.9044189453125,532.4983520507812,0.9999989867210388,1096.5089111328125,492.21392822265625,0.9999966621398926,1129.989990234375,497.5041198730469,1.0
32,966.8221435546875,506.35760498046875,0.9999997019767761,1012.2694702148438,523.35791015625,0.9999999403953552,1011.9867553710938,494.2308349609375,0.9999996423721313,1097.9178466796875,532.4953002929688,0.9999990463256836,1096.526123046875,492.2054138183594,0.9999967813491821,1129.9879150390625,497.47576904296875,1.0
33,955.762451171875,503.687255859375,0.9999998807907104,1000.8477783203125,525.5551147460938,0.9999997615814209,1002.0953369140625,496.5470886230469,0.9999993443489075,1085.463623046875,535.0496215820312,0.999995768070221,1077.2728271484375,495.04046630859375,0.9999997019767761,1117.7620849609375,499.1509704589844,1.0
34,955.7625732421875,503.6882019042969,0.9999998211860657,1000.846923828125,525.5565795898438,0.9999997019767761,1002.094970703125,496.54742431640625,0.9999992847442627,1085.447265625,535.0518798828125,0.9999958276748657,1077.27490234375,495.0528869628906,0.9999997019767761,1117.7620849609375,499.1797180175781,0.9999998807907104
35,945.9498901367188,499.5953674316406,0.9999999403953552,987.5538940429688,524.5176391601562,0.9999985694885254,990.21142578125,495.4625549316406,0.9999983906745911,1076.881103515625,533.6220092773438,0.9999997019767761,1062.04736328125,494.9456787109375,0.9999997019767761,1102.770751953125,499.13665771484375,1.0
36,945.9491577148438,499.5973205566406,1.0,987.5480346679688,524.5153198242188,0.9999985694885254,990.2056884765625,495.4635314941406,0.9999984502792358,1076.7645263671875,533.6376953125,0.9999996423721313,1061.9951171875,494.9450988769531,0.9999997019767761,1102.7362060546875,499.2238464355469,1.0
37,934.4417724609375,492.239013671875,1.0,975.057373046875,519.92578125,0.9999996423721313,976.7357788085938,491.2226257324219,0.9999994039535522,1061.420166015625,532.321044921875,0.9999998807907104,1053.195068359375,494.3227844238281,0.9999977350234985,1092.82763671875,503.4971923828125,1.0
38,934.6617431640625,492.12493896484375,0.9999999403953552,975.0094604492188,519.8973388671875,0.9999997019767761,976.679443359375,491.1950378417969,0.9999992847442627,1061.417236328125,532.3208618164062,0.9999998807907104,1053.189453125,494.3269958496094,0.9999977350234985,1092.8275146484375,503.4988708496094,0.9999998807907104
39,928.7636108398438,480.81103515625,0.9999878406524658,961.141845703125,515.1070556640625,0.9999997615814209,967.9678955078125,487.0655212402344,0.9999992847442627,1040.6651611328125,532.1580200195312,0.9999960064888,1042.9991455078125,496.0295104980469,0.9999995231628418,1079.6424560546875,514.3209838867188,1.0
40,928.7626953125,480.8098449707031,0.9999879598617554,961.15185546875,515.1104125976562,0.9999997615814209,967.984375,487.05792236328125,0.9999992847442627,1040.6229248046875,532.15234375,0.999995768070221,1042.9542236328125,495.9971923828125,0.9999994039535522,1079.5377197265625,514.380126953125,0.9999998807907104
41,926.3477783203125,473.21368408203125,0.9999918937683105,952.7496337890625,512.3419799804688,0.9999994039535522,963.7471313476562,483.6919250488281,1.0,1028.0010986328125,536.2386474609375,0.999985933303833,1039.1341552734375,498.5354309082031,0.9999979734420776,1070.787353515625,520.689697265625,0.9999983310699463
42,926.371337890625,473.2044677734375,0.9999918937683105,952.7692260742188,512.3563232421875,0.9999992847442627,963.7523803710938,483.6761169433594,0.9999998807907104,1028.0506591796875,536.22412109375,0.999984622001648,1039.160888671875,498.4555358886719,0.999998152256012,1070.721435546875,520.7500610351562,0.9999979734420776
43,929.0460815429688,464.6122741699219,0.9999971985816956,944.3363647460938,506.986083984375,0.999997615814209,962.3834228515625,482.08258056640625,0.9999997615814209,1020.5504760742188,538.2013549804688,0.9999902248382568,1032.0533447265625,501.046630859375,0.9999992847442627,1064.9700927734375,524.906494140625,0.9999990463256836
