scorer,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000
bodyparts,NoseTip,NoseTip,NoseTip,ForepawLeft,ForepawLeft,ForepawLeft,ForepawRight,ForepawRight,ForepawRight,HindpawLeft,HindpawLeft,HindpawLeft,HindpawRight,HindpawRight,HindpawRight,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1086.0391845703125,660.4077758789062,0.9999982118606567,1130.2059326171875,655.726318359375,0.999996542930603,1105.1365966796875,638.578125,0.9999992847442627,1149.63916015625,597.8232421875,0.9999997615814209,1106.3922119140625,599.2559204101562,0.9999997019767761,1124.259521484375,554.1338500976562,1.0
1,1086.038330078125,660.4072875976562,0.9999983310699463,1130.205810546875,655.7269897460938,0.9999964833259583,1105.1324462890625,638.5797729492188,0.9999992847442627,1149.63916015625,597.8236694335938,0.9999997019767761,1106.39208984375,599.2560424804688,0.9999997615814209,1124.259521484375,554.1339111328125,1.0
2,1085.385986328125,658.4426879882812,0.9999982714653015,1130.0660400390625,655.7446899414062,0.9999973773956299,1104.994140625,637.9061279296875,0.9999995827674866,1149.7816162109375,597.3499145507812,0.9999998211860657,1106.402587890625,600.5488891601562,0.9999992847442627,1124.543701171875,554.6569213867188,1.0
3,1085.4427490234375,658.5048217773438,0.9999983906745911,1130.0892333984375,655.6561889648438,0.9999970197677612,1105.102294921875,637.6766357421875,0.9999995827674866,1149.759521484375,597.365478515625,0.9999998211860657,1106.4183349609375,600.3958740234375,0.9999994039535522,1124.5347900390625,554.602783203125,1.0
4,1084.6375732421875,651.0977172851562,0.9999970197677612,1130.7642822265625,655.5069580078125,0.9999984502792358,1106.4677734375,635.831298828125,0.9999998211860657,1150.45849609375,599.5228881835938,0.9999997615814209,1106.4091796875,600.8844604492188,0.9999994039535522,1125.6318359375,555.2763061523438,1.0
5,1084.7808837890625,651.0004272460938,0.9999969005584717,1130.779541015625,655.3956909179688,0.9999983310699463,1106.483154296875,635.7137451171875,0.9999997615814209,1150.4603271484375,599.5178833007812,0.9999997615814209,1106.433837890625,600.8802490234375,0.9999993443489075,1125.6304931640625,555.2755737304688,1.0
6,1085.3470458984375,641.2875366210938,0.9999998807907104,1124.91162109375,660.2667846679688,0.9999989867210388,1106.5667724609375,634.3897094726562,0.9999997019767761,1154.02294921875,605.2828369140625,0.9999997615814209,1106.8863525390625,603.027099609375,0.9999996423721313,1128.152587890625,557.61474609375,0.9999998807907104
7,1085.3646240234375,641.0926513671875,0.9999999403953552,1124.7772216796875,660.3453369140625,0.9999988079071045,1106.6319580078125,634.3556518554688,0.9999996423721313,1154.0140380859375,605.3009033203125,0.9999997615814209,1106.9337158203125,602.9678955078125,0.9999995827674866,1128.1571044921875,557.6218872070312,0.9999999403953552
8,1085.2567138671875,634.1449584960938,0.9999995827674866,1116.6505126953125,664.3945922851562,0.9999943971633911,1108.2330322265625,633.1438598632812,0.9999990463256836,1155.14990234375,610.573974609375,0.9999998211860657,1107.12646484375,604.3458251953125,0.9999997019767761,1131.2034912109375,564.3302612304688,1.0
9,1085.2574462890625,634.154296875,0.9999995231628418,1116.6204833984375,664.4010009765625,0.9999945759773254,1108.2333984375,633.1386108398438,0.9999990463256836,1155.1514892578125,610.58251953125,0.9999998211860657,1107.1265869140625,604.3495483398438,0.9999997615814209,1131.19482421875,564.3269653320312,1.0
10,1088.4365234375,624.1904907226562,0.9999958276748657,1110.662353515625,664.5200805664062,0.9999985694885254,1109.12548828125,631.2255249023438,0.9999942183494568,1156.4903564453125,612.2498168945312,1.0,1106.3372802734375,606.1487426757812,0.9999996423721313,1129.9603271484375,570.9901123046875,0.9999997019767761
11,1088.4351806640625,624.1885375976562,0.9999958276748657,1110.6611328125,664.5187377929688,0.9999985098838806,1109.125,631.2264404296875,0.9999940991401672,1156.4912109375,612.2506103515625,1.0,1106.336669921875,606.1445922851562,0.9999996423721313,1129.961181640625,570.989013671875,0.9999997019767761
12,1088.647705078125,613.7554931640625,0.9999995231628418,1105.0906982421875,664.3496704101562,0.9999901652336121,1109.140380859375,632.4204711914062,0.9999940395355225,1155.990966796875,617.0611572265625,0.9999997615814209,1108.8365478515625,605.2162475585938,0.9999920129776001,1129.71337890625,575.6041259765625,0.9999996423721313
13,1088.6474609375,613.7564086914062,0.9999995231628418,1105.09130859375,664.3524780273438,0.9999901056289673,1109.1396484375,632.4227294921875,0.9999940991401672,1155.9918212890625,617.0509643554688,0.9999997615814209,1108.83447265625,605.21337890625,0.9999919533729553,1129.713623046875,575.6094970703125,0.9999997019767761
14,1091.8138427734375,597.6491088867188,1.0,1097.10205078125,657.1341552734375,0.9999972581863403,1107.1617431640625,627.7390747070312,0.9999997615814209,1156.0423583984375,628.1298828125,0.9999998807907104,1119.699951171875,607.9334716796875,0.9999897480010986,1137.56640625,585.954345703125,0.9999999403953552
15,1091.8177490234375,597.6431884765625,1.0,1097.1239013671875,657.152099609375,0.9999972581863403,1107.1978759765625,627.7227172851562,0.9999997615814209,1156.0855712890625,628.3052978515625,1.0,1119.6983642578125,607.925537109375,0.9999898672103882,1137.562255859375,585.9420166015625,0.9999999403953552
16,1092.1092529296875,587.0701904296875,1.0,1090.912841796875,642.9525146484375,0.9999989867210388,1109.924072265625,617.963134765625,0.999993622303009,1146.446044921875,661.542724609375,0.999983012676239,1131.4166259765625,614.0068969726562,0.9999995827674866,1152.4656982421875,611.1342163085938,0.9999997615814209
17,1092.106689453125,587.0677490234375,1.0,1090.913330078125,642.95361328125,0.9999989867210388,1109.9244384765625,617.9595336914062,0.9999936819076538,1146.4443359375,661.5828247070312,0.9999827146530151,1131.4246826171875,614.0091552734375,0.9999995827674866,1152.4686279296875,611.1364135742188,0.9999997615814209
18,1097.5123291015625,584.4053344726562,0.9999999403953552,1088.9241943359375,631.4597778320312,0.9999991059303284,1115.4888916015625,614.7642822265625,0.9999994039535522,1130.636474609375,673.8956298828125,0.9999957084655762,1139.973876953125,629.2998657226562,0.9999998211860657,1156.149169921875,631.9274291992188,0.9999998211860657
19,1097.514892578125,584.4022827148438,0.9999999403953552,1088.89697265625,631.405517578125,0.9999990463256836,1115.496337890625,614.7125854492188,0.999999463558197,1130.650146484375,673.85693359375,0.9999959468841553,1140.0546875,629.2574462890625,0.9999998807907104,1156.1949462890625,631.8968505859375,0.9999998807907104
20,1105.4814453125,580.4408569335938,1.0,1086.8787841796875,619.8820190429688,0.9999958872795105,1116.378173828125,611.72314453125,0.9999998807907104,1127.1356201171875,674.4356079101562,0.9999901056289673,1141.4190673828125,633.5033569335938,0.9999973773956299,1157.873291015625,638.7074584960938,0.9999998807907104
21,1105.4859619140625,580.4405517578125,1.0,1086.8575439453125,619.8306884765625,0.9999960660934448,1116.382080078125,611.6971435546875,0.9999997615814209,1127.119873046875,674.4358520507812,0.9999905228614807,1141.4097900390625,633.51611328125,0.9999973773956299,1157.875732421875,638.7108154296875,0.9999997615814209
22,1111.28564453125,574.46240234375,0.9999999403953552,1091.4163818359375,610.5038452148438,0.9999998807907104,1120.0184326171875,604.98486328125,0.9999987483024597,1123.66845703125,672.264404296875,0.9999905824661255,1143.30224609375,633.0613403320312,0.9999939203262329,1158.1533203125,641.5833129882812,0.9999999403953552
23,1111.2835693359375,574.4666137695312,0.9999999403953552,1091.40771484375,610.51806640625,0.9999998211860657,1120.028564453125,604.9861450195312,0.9999987483024597,1123.70703125,672.2513427734375,0.9999896287918091,1143.2955322265625,633.0298461914062,0.9999940395355225,1158.1636962890625,641.5795288085938,0.9999998807907104
24,1112.0340576171875,566.1972045898438,0.9999999403953552,1093.915283203125,603.7269287109375,0.9999994039535522,1123.5787353515625,603.2460327148438,0.9999999403953552,1120.726318359375,670.1458129882812,0.9999773502349854,1143.680419921875,634.34765625,0.9999896287918091,1158.50927734375,644.9666137695312,0.9999999403953552
25,1112.262451171875,566.5422973632812,0.9999998211860657,1093.2821044921875,604.574951171875,0.9999994039535522,1122.8372802734375,603.637451171875,0.9999998807907104,1121.62890625,670.4566650390625,0.9999876618385315,1143.48046875,634.3353271484375,0.99998939037323,1158.5948486328125,644.3135986328125,0.9999999403953552
26,1111.021240234375,557.369140625,0.9999998807907104,1094.12841796875,598.0457153320312,0.9999997615814209,1124.7666015625,597.58154296875,0.9999998807907104,1114.1507568359375,665.567138671875,0.9998712539672852,1141.4842529296875,632.9024658203125,0.999984860420227,1157.892578125,645.8099975585938,0.9999998807907104
27,1111.0361328125,557.3693237304688,1.0,1094.1292724609375,598.0092163085938,0.9999997615814209,1124.758056640625,597.5741577148438,0.9999999403953552,1114.1495361328125,665.5604248046875,0.9998714327812195,1141.483642578125,632.9088745117188,0.9999846816062927,1157.8917236328125,645.8109741210938,0.9999998807907104
28,1108.4581298828125,545.2797241210938,1.0,1095.0328369140625,590.774169921875,0.9999982118606567,1125.228759765625,588.2699584960938,0.9999997615814209,1110.1263427734375,658.1503295898438,0.999994695186615,1138.484619140625,629.3367919921875,0.9999971389770508,1155.6771240234375,649.276611328125,0.9999996423721313
29,1108.4603271484375,545.269775390625,1.0,1095.0633544921875,590.7113037109375,0.9999983310699463,1125.38623046875,588.1837768554688,0.9999997019767761,1110.079833984375,658.1300048828125,0.9999947547912598,1138.4903564453125,629.3764038085938,0.9999971389770508,1155.77783203125,649.3682861328125,0.9999995827674866
30,1107.322265625,538.1356811523438,1.0,1095.7579345703125,585.1840209960938,0.999999463558197,1126.7034912109375,578.150146484375,0.9999998807907104,1105.4322509765625,651.8187255859375,0.9999954104423523,1138.2813720703125,628.099853515625,0.999999463558197,1151.5533447265625,655.2511596679688,0.9999994039535522
31,1107.320068359375,538.129638671875,1.0,1095.7603759765625,585.169677734375,0.9999995231628418,1126.704833984375,578.10302734375,0.9999998807907104,1105.4244384765625,651.6588745117188,0.9999955892562866,1138.283447265625,628.0100708007812,0.9999994039535522,1151.321044921875,655.6039428710938,0.9999996423721313
32,1107.3128662109375,538.14599609375,1.0,1095.771484375,585.1697387695312,0.999999463558197,1126.6976318359375,578.0964965820312,0.9999998211860657,1105.4266357421875,651.6559448242188,0.9999957084655762,1138.28515625,628.0042724609375,0.9999994039535522,1151.3211669921875,655.6068115234375,0.9999996423721313
33,1101.665283203125,530.3070068359375,1.0,1097.0726318359375,580.8356323242188,0.9999997615814209,1126.2078857421875,569.7052612304688,0.9999997019767761,1098.5780029296875,632.6926879882812,0.9999990463256836,1137.0673828125,626.75390625,1.0,1136.62646484375,664.123046875,0.9999996423721313
34,1101.6572265625,530.307861328125,1.0,1097.0574951171875,580.844970703125,0.9999997615814209,1126.2431640625,569.711669921875,0.9999997615814209,1098.5494384765625,632.6638793945312,0.9999990463256836,1136.4683837890625,626.5732421875,1.0,1136.654541015625,664.126708984375,0.9999995827674866
35,1095.0772705078125,524.8453369140625,1.0,1096.561767578125,575.2742919921875,0.999999463558197,1126.484375,563.7086181640625,1.0,1095.327880859375,622.6253662109375,0.9999994039535522,1134.69580078125,623.9071655273438,0.9999998807907104,1119.65966796875,663.3388671875,0.9999997615814209
36,1086.04345703125,524.1970825195312,0.9999992251396179,1094.7987060546875,565.8508911132812,0.9999999403953552,1125.175048828125,557.2276000976562,0.9999996423721313,1092.5911865234375,614.8792724609375,1.0,1132.0487060546875,622.3364868164062,0.9999999403953552,1111.0802001953125,659.2509155273438,1.0
37,1086.0426025390625,524.2088623046875,0.9999991655349731,1094.7996826171875,565.8475952148438,0.9999999403953552,1125.1724853515625,557.2120361328125,0.9999996423721313,1092.5921630859375,614.8849487304688,0.9999998807907104,1132.0460205078125,622.3327026367188,0.9999998807907104,1111.0902099609375,659.2499389648438,1.0
38,1082.9267578125,532.5980834960938,1.0,1093.490966796875,564.798828125,1.0,1123.995849609375,555.447265625,0.9999998807907104,1090.845458984375,612.4315185546875,1.0,1131.0333251953125,622.5512084960938,0.9999997615814209,1106.4261474609375,658.6910400390625,1.0
39,1082.9246826171875,532.6043701171875,0.9999999403953552,1093.5093994140625,564.7941284179688,1.0,1123.9764404296875,555.4481811523438,0.9999998211860657,1090.8564453125,612.4736938476562,1.0,1131.035400390625,622.4878540039062,0.9999998807907104,1106.4395751953125,658.702392578125,1.0
40,1082.861083984375,534.7190551757812,1.0,1093.6239013671875,565.3513793945312,1.0,1123.4207763671875,555.2251586914062,0.9999997615814209,1090.1336669921875,612.5027465820312,0.9999999403953552,1129.8443603515625,621.6206665039062,0.9999992847442627,1103.9281005859375,657.3980712890625,0.9999999403953552
41,1082.85888671875,534.7166748046875,0.9999998807907104,1093.62451171875,565.3495483398438,1.0,1123.419677734375,555.2239990234375,0.9999998211860657,1090.133544921875,612.5025634765625,0.9999999403953552,1129.8438720703125,621.6218872070312,0.9999992847442627,1103.9290771484375,657.3997802734375,1.0
42,1082.8590087890625,534.716064453125,1.0,1093.62451171875,565.3495483398438,1.0,1123.419677734375,555.2239990234375,0.9999997615814209,1090.133544921875,612.5025634765625,1.0,1129.843994140625,621.6220092773438,0.9999992847442627,1103.9288330078125,657.3990478515625,1.0
43,1082.6295166015625,537.9083862304688,0.9999995827674866,1093.633544921875,565.2434692382812,0.9999999403953552,1122.8629150390625,555.6600341796875,0.9999997615814209,1090.036865234375,612.0045166015625,1.0,1129.9986572265625,615.485595703125,0.9999998807907104,1104.7816162109375,656.4078979492188,1.0
