scorer,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000,DLC_resnet50_Maternal_EPMDec28shuffle1_700000
bodyparts,NoseTip,NoseTip,NoseTip,ForepawLeft,ForepawLeft,ForepawLeft,ForepawRight,ForepawRight,ForepawRight,HindpawLeft,HindpawLeft,HindpawLeft,HindpawRight,HindpawRight,HindpawRight,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,968.6275634765625,487.40924072265625,0.999998927116394,1009.642333984375,524.5712890625,0.9999977350234985,1015.6555786132812,495.7427978515625,0.9999996423721313,1090.03271484375,542.4530029296875,0.9999998211860657,1106.7542724609375,507.322509765625,0.9999891519546509,1125.8348388671875,549.003662109375,1.0
1,968.6275634765625,487.40924072265625,0.9999988079071045,1009.642333984375,524.5712890625,0.9999977350234985,1015.6555786132812,495.7427978515625,0.9999996423721313,1090.03271484375,542.4530029296875,0.9999998211860657,1106.7542724609375,507.322509765625,0.9999891519546509,1125.8348388671875,549.003662109375,1.0
2,970.2467651367188,484.22308349609375,0.9999998807907104,1009.06005859375,523.5932006835938,0.9999884366989136,1016.3133544921875,495.00445556640625,0.9999993443489075,1090.837158203125,542.942626953125,0.9999998807907104,1107.18212890625,507.996337890625,0.9999938011169434,1125.5078125,549.2086791992188,1.0
3,970.2486572265625,484.2041931152344,0.9999998807907104,1009.0151977539062,523.5111083984375,0.9999874830245972,1016.3356323242188,495.6226501464844,0.9999992847442627,1090.833251953125,542.9332275390625,0.9999997615814209,1107.2037353515625,507.9771728515625,0.9999935626983643,1125.5054931640625,549.212646484375,1.0
4,976.1923217773438,475.85223388671875,0.9999995231628418,1002.59326171875,520.926025390625,0.9999784827232361,1015.5748901367188,495.1072082519531,0.9999998211860657,1089.6197509765625,543.2890014648438,0.9999996423721313,1100.718505859375,504.5866394042969,0.9999922513961792,1123.61474609375,550.8438720703125,1.0
5,976.1922607421875,475.8522033691406,0.9999995231628418,1002.5944213867188,520.92822265625,0.9999785423278809,1015.576904296875,495.1080017089844,0.9999997615814209,1089.6236572265625,543.29150390625,0.9999996423721313,1100.7110595703125,504.5792541503906,0.9999922513961792,1123.61376953125,550.8467407226562,1.0
6,980.7286987304688,473.3808288574219,0.9999998211860657,1003.3876953125,518.0261840820312,0.9999980926513672,1017.0054321289062,493.2169494628906,0.9999991655349731,1082.15869140625,543.084228515625,0.9999984502792358,1083.89501953125,498.5572204589844,0.9999993443489075,1120.7701416015625,549.5491943359375,1.0
7,980.714599609375,473.4104309082031,0.9999998807907104,1003.4201049804688,518.0197143554688,0.9999980926513672,1016.8825073242188,493.0552978515625,0.9999991655349731,1082.1590576171875,543.08642578125,0.9999984502792358,1083.8922119140625,498.55511474609375,0.9999992847442627,1120.768310546875,549.5462646484375,1.0
8,993.4161987304688,469.0703125,1.0,1006.701171875,517.5784301757812,0.9999995231628418,1022.90673828125,491.4837341308594,0.9999969005584717,1082.6455078125,542.1885986328125,0.9999982118606567,1083.3116455078125,497.74298095703125,0.9999966025352478,1121.64013671875,547.416259765625,1.0
9,993.4197998046875,469.0577392578125,1.0,1006.7955322265625,517.6945190429688,0.9999995231628418,1022.9330444335938,491.48052978515625,0.9999969005584717,1082.68994140625,542.18408203125,0.9999982714653015,1083.3243408203125,497.7433166503906,0.9999967813491821,1121.6326904296875,547.42822265625,1.0
10,996.8358764648438,461.7775573730469,1.0,1005.4306030273438,512.4719848632812,0.9999884366989136,1024.789306640625,487.7575988769531,0.9999994039535522,1081.79296875,541.6259155273438,0.9999985694885254,1085.4970703125,497.60186767578125,0.9999986290931702,1123.369384765625,544.7759399414062,1.0
11,996.8358154296875,461.77777099609375,0.9999998807907104,1005.4307250976562,512.4722900390625,0.9999884366989136,1024.78955078125,487.7571716308594,0.9999994039535522,1081.7891845703125,541.6285400390625,0.9999985694885254,1085.497314453125,497.5985412597656,0.9999985694885254,1123.3702392578125,544.78173828125,1.0
12,1000.6449584960938,458.6931457519531,0.9999955892562866,1007.0804443359375,503.5008239746094,0.9999980926513672,1028.3677978515625,484.0696716308594,0.9999998807907104,1079.974365234375,541.5713500976562,0.9999971389770508,1087.087158203125,498.4347229003906,0.9999978542327881,1123.48876953125,544.5994873046875,1.0
13,1000.6466064453125,458.6832580566406,0.9999954700469971,1007.0835571289062,503.4940185546875,0.9999980926513672,1028.369140625,484.0610046386719,0.9999998807907104,1079.970458984375,541.5663452148438,0.9999971389770508,1087.09765625,498.447998046875,0.9999978542327881,1123.485107421875,544.60107421875,1.0
14,999.5685424804688,455.04486083984375,0.9822815656661987,1007.7124633789062,495.9060363769531,0.9999948740005493,1029.649658203125,479.329345703125,0.9999996423721313,1079.7247314453125,540.2197875976562,0.9999970197677612,1087.2347412109375,498.0249328613281,0.9999983310699463,1122.3187255859375,544.6596069335938,1.0
15,999.5861206054688,455.0215148925781,0.9824952483177185,1007.71240234375,495.90740966796875,0.9999947547912598,1029.6512451171875,479.3249206542969,0.9999996423721313,1079.734375,540.2198486328125,0.999997079372406,1087.2332763671875,498.015625,0.9999982714653015,1122.3170166015625,544.6603393554688,1.0
16,1003.5487060546875,451.63433837890625,0.570904552936554,1007.7612915039062,490.607177734375,0.9999894499778748,1030.7620849609375,474.2951965332031,0.9999992847442627,1079.7779541015625,539.2426147460938,0.9999980330467224,1087.1932373046875,497.3271179199219,0.9999979734420776,1120.5555419921875,543.674560546875,0.9999998807907104
17,1003.5484008789062,451.6337585449219,0.5710599422454834,1007.7613525390625,490.60797119140625,0.9999894499778748,1030.7615966796875,474.2950744628906,0.9999992847442627,1079.77783203125,539.2434692382812,0.9999979734420776,1087.1942138671875,497.3272399902344,0.9999979734420776,1120.5556640625,543.6759033203125,0.9999999403953552
18,543.0202026367188,36.478179931640625,0.0318126380443573,1007.7275390625,485.2934875488281,0.9999974966049194,1031.5692138671875,470.3913269042969,1.0,1079.8885498046875,538.3239135742188,0.9999972581863403,1087.1236572265625,496.33349609375,0.9999951124191284,1119.0843505859375,543.3521118164062,0.9999998807907104
19,542.9903564453125,36.53961181640625,0.03069975972175598,1007.728271484375,485.295654296875,0.9999974966049194,1031.572509765625,470.39361572265625,1.0,1079.9000244140625,538.3231201171875,0.9999971389770508,1087.1072998046875,496.3572692871094,0.9999951720237732,1119.0869140625,543.3588256835938,0.9999998807907104
20,543.271728515625,36.43869400024414,0.2627158761024475,1006.10986328125,478.7663269042969,0.9999985694885254,1030.98486328125,466.7892150878906,1.0,1077.0867919921875,537.505615234375,0.9999992251396179,1086.9117431640625,495.77392578125,0.999994695186615,1116.4327392578125,542.9049072265625,0.9999997615814209
21,543.271728515625,36.438697814941406,0.2627153694629669,1006.0692749023438,478.82373046875,0.9999986886978149,1030.939697265625,466.8240966796875,1.0,1077.14208984375,537.50732421875,0.9999992251396179,1086.9888916015625,495.80712890625,0.9999948740005493,1116.4447021484375,542.9248046875,0.9999997615814209
22,543.8043212890625,36.876312255859375,0.242234468460083,1004.5267944335938,477.04205322265625,0.9999995827674866,1030.629150390625,463.61053466796875,0.9999998211860657,1066.230712890625,534.2998046875,0.9999998211860657,1083.0618896484375,494.5504455566406,0.9999983310699463,1112.2921142578125,544.6136474609375,1.0
23,543.8062744140625,36.874961853027344,0.24284085631370544,1004.5250854492188,477.0401916503906,0.9999995231628418,1030.6290283203125,463.60784912109375,0.9999998807907104,1066.23046875,534.2965087890625,0.9999998807907104,1083.0413818359375,494.5438537597656,0.9999983310699463,1112.2840576171875,544.5540771484375,0.9999998807907104
24,543.63671875,37.339515686035156,0.16806715726852417,1004.7635498046875,476.0321044921875,0.9999992251396179,1031.7772216796875,462.6033020019531,0.9999989867210388,1058.7366943359375,533.4849243164062,0.9999998807907104,1080.33837890625,495.79986572265625,0.9999998807907104,1104.82763671875,547.5072631835938,1.0
25,544.4929809570312,35.50017547607422,0.14873147010803223,1005.9710693359375,475.80206298828125,0.999998927116394,1032.6748046875,462.6415100097656,0.9999978542327881,1057.192626953125,532.7041625976562,0.9999998211860657,1080.11669921875,495.8041687011719,0.9999998807907104,1104.64990234375,547.0162963867188,1.0
26,544.1097412109375,36.04330825805664,0.16346591711044312,1006.9511108398438,476.7488708496094,0.9999984502792358,1035.0819091796875,462.8821716308594,0.9999986886978149,1050.79052734375,531.7118530273438,0.9999991655349731,1078.1103515625,496.77783203125,1.0,1099.8414306640625,550.4507446289062,1.0
27,544.0934448242188,36.05866241455078,0.15949925780296326,1006.96484375,476.76312255859375,0.9999985098838806,1035.078857421875,462.86456298828125,0.9999986886978149,1050.7186279296875,531.6741333007812,0.9999991655349731,1078.1175537109375,496.7679748535156,1.0,1099.841064453125,550.447998046875,1.0
28,544.4412231445312,35.941986083984375,0.250751256942749,1007.5311279296875,477.49017333984375,0.9999983906745911,1036.60546875,463.3965759277344,0.9999992847442627,1049.0345458984375,532.1224975585938,0.9999972581863403,1077.8603515625,497.24566650390625,1.0,1097.8013916015625,552.9805297851562,0.9999998807907104
29,544.4412231445312,35.941959381103516,0.25074121356010437,1007.5314331054688,477.49041748046875,0.9999984502792358,1036.6065673828125,463.3977966308594,0.9999994039535522,1049.020751953125,532.1329345703125,0.9999971985816956,1077.8629150390625,497.249267578125,1.0,1097.801513671875,552.9835205078125,0.9999997615814209
30,544.9794311523438,34.36193084716797,0.5801953077316284,1007.8175659179688,476.7776184082031,0.9999991655349731,1036.2449951171875,463.0140075683594,0.9999991655349731,1049.5648193359375,531.8303833007812,0.9999984502792358,1077.8271484375,497.1669921875,0.9999999403953552,1097.4896240234375,551.8739624023438,0.9999998807907104
31,544.9796142578125,34.36170959472656,0.5803524851799011,1007.7364501953125,476.74444580078125,0.9999991655349731,1036.1888427734375,462.96783447265625,0.9999992251396179,1049.524169921875,531.8605346679688,0.9999983310699463,1077.8377685546875,497.11163330078125,1.0,1097.494873046875,551.8807373046875,0.9999998807907104
32,545.0715942382812,34.40265655517578,0.43194401264190674,1007.9435424804688,474.273681640625,0.9999987483024597,1034.6243896484375,460.79437255859375,0.9999969005584717,1049.8089599609375,532.1388549804688,0.9999990463256836,1077.91455078125,497.7276611328125,1.0,1098.0321044921875,551.3800048828125,1.0
33,545.05810546875,34.444671630859375,0.42842209339141846,1007.8684692382812,474.0790100097656,0.9999985694885254,1034.5640869140625,460.7075500488281,0.9999967813491821,1049.81640625,532.1251831054688,0.9999988675117493,1077.8878173828125,497.683349609375,1.0,1098.0675048828125,551.37451171875,0.9999998807907104
34,545.0855102539062,34.497798919677734,0.4973241686820984,1007.83935546875,475.2785339355469,0.999999463558197,1034.2061767578125,460.522216796875,0.9999966621398926,1049.6973876953125,531.8292846679688,0.9999985694885254,1077.9276123046875,497.81689453125,1.0,1098.0146484375,551.17578125,0.9999998807907104
35,545.0908203125,34.54698944091797,0.4772608280181885,1007.8394165039062,475.27862548828125,0.999999463558197,1034.206298828125,460.5223083496094,0.9999966621398926,1049.698974609375,531.8295288085938,0.9999985694885254,1077.9276123046875,497.8170166015625,1.0,1098.0142822265625,551.1787109375,0.9999998807907104
36,544.7584228515625,34.992454528808594,0.21481379866600037,1009.1356201171875,475.9546813964844,0.9999997615814209,1036.4964599609375,461.9126281738281,0.9999974966049194,1050.1356201171875,532.65185546875,0.999998927116394,1078.113525390625,497.6815185546875,1.0,1097.89697265625,551.5137939453125,1.0
37,544.7589111328125,34.993099212646484,0.2141311764717102,1009.191162109375,475.9424133300781,0.9999997615814209,1036.5223388671875,461.9150390625,0.9999974966049194,1050.1282958984375,532.634765625,0.999998927116394,1078.0294189453125,497.59625244140625,1.0,1097.88916015625,551.509765625,1.0
38,545.3057861328125,34.472869873046875,0.505570113658905,1011.2240600585938,476.1738586425781,0.9999998807907104,1039.8013916015625,461.6141662597656,0.9999973773956299,1049.814697265625,532.149169921875,0.9999982118606567,1078.6495361328125,497.67010498046875,0.9999999403953552,1097.7991943359375,552.2691040039062,0.9999999403953552
39,545.3999633789062,34.2943229675293,0.5956506133079529,1011.2159423828125,476.20452880859375,1.0,1039.8612060546875,461.63751220703125,0.9999974966049194,1049.8114013671875,532.1506958007812,0.9999982118606567,1078.808837890625,497.7430725097656,1.0,1097.810791015625,552.2863159179688,1.0
40,545.3999633789062,34.2943229675293,0.5956506133079529,1011.216064453125,476.2040100097656,0.9999998807907104,1039.8614501953125,461.63592529296875,0.9999974966049194,1049.811767578125,532.1524658203125,0.9999982118606567,1078.809814453125,497.74627685546875,1.0,1097.810546875,552.2868041992188,0.9999998807907104
41,1024.4805908203125,438.0829772949219,0.9887456297874451,1015.0205078125,476.2259216308594,0.9999998807907104,1045.1253662109375,464.16259765625,0.9999996423721313,1050.825439453125,532.617919921875,0.9999978542327881,1079.75048828125,498.76171875,1.0,1098.352294921875,553.3992309570312,0.9999997615814209
42,545.011474609375,34.28078079223633,0.3453350067138672,1018.3726196289062,478.903564453125,0.9999982714653015,1048.623046875,466.4960632324219,0.9999998807907104,1051.0531005859375,532.8556518554688,0.9999974966049194,1079.7230224609375,498.87091064453125,1.0,1098.3009033203125,555.2396240234375,0.9999997615814209
43,545.0113525390625,34.28086471557617,0.34514114260673523,1018.3377685546875,478.9844970703125,0.9999983310699463,1048.6378173828125,466.4754943847656,0.9999998807907104,1051.02001953125,532.8494262695312,0.9999974966049194,1079.72509765625,498.851806640625,1.0,1098.3046875,555.23095703125,0.9999997615814209
